,dT,Tref,class,log_aT
0,5.4,130.0,1.0,-0.32
1,6.3,130.0,1.0,-0.47
2,7.2,130.0,1.0,-0.54
3,9.1,130.0,1.0,-0.73
4,15.7,130.0,1.0,-1.08
5,20.9,130.0,1.0,-1.51
6,24.6,130.0,1.0,-1.68
7,25.9,130.0,1.0,-1.78
8,36.1,130.0,1.0,-2.3
9,37.6,130.0,1.0,-2.37
10,39.4,130.0,1.0,-2.45
11,40.7,130.0,1.0,-2.55
12,51.1,130.0,1.0,-2.93
13,52.2,130.0,1.0,-2.98
14,54.2,130.0,1.0,-3.05
15,55.7,130.0,1.0,-3.15
16,65.5,130.0,1.0,-3.44
17,67.0,130.0,1.0,-3.51
18,68.9,130.0,1.0,-3.56
19,70.4,130.0,1.0,-3.62
20,80.7,130.0,1.0,-3.91
21,84.2,130.0,1.0,-3.95
22,95.9,130.0,1.0,-4.24
23,97.2,130.0,1.0,-4.31
24,100.2,130.0,1.0,-4.38
25,-0.001000000000004775,130.0,2.0,1.186367144967448e-06
26,19.99100000000001,130.0,2.0,-1.551902957529371
27,39.97200000000001,130.0,2.0,-2.711669012501247
28,59.976,130.0,2.0,-3.566697086081363
29,79.975,130.0,2.0,-4.180173861284566
30,99.982,130.0,2.0,-4.6312
31,119.985,130.0,2.0,-5.069383335681042
32,139.988,130.0,2.0,-5.591258701684384
33,-100.0,260.0,3.0,5.038079440758397
34,-89.99000000000001,260.0,3.0,3.758746163059901
35,-80.0,260.0,3.0,2.8510068744725863
36,-60.0,260.0,3.0,1.6844090534649807
37,-40.00999999999999,260.0,3.0,0.9395656747200297
38,-20.00999999999999,260.0,3.0,0.41251766557850084
39,0.0,260.0,3.0,0.0
40,20.0,260.0,3.0,-0.33338281695039995
41,-40.0,170.0,4.0,2.88883
42,-20.0,170.0,4.0,1.15239
43,0.0,170.0,4.0,0.0
44,20.0,170.0,4.0,-0.817863
45,0.0,170.0,5.0,0.0
46,10.0,170.0,5.0,-0.42918862768722016
47,20.0,170.0,5.0,-0.798193357042978
48,30.0,170.0,5.0,-1.1099144732836748
49,40.0,170.0,5.0,-1.380072289708532
50,50.0,170.0,5.0,-1.6181632000016566
51,60.0,170.0,5.0,-1.8276890314780458
52,0.0,170.0,5.0,0.0
53,10.0,170.0,5.0,-0.4333033048835361
54,20.0,170.0,5.0,-0.7987121458982412
55,30.0,170.0,5.0,-1.1126077810281532
56,40.0,170.0,5.0,-1.384576047114056
57,50.0,170.0,5.0,-1.62015082123717
58,60.0,170.0,5.0,-1.8291517963566906
59,0.0,170.0,5.0,0.0
60,10.0,170.0,5.0,-0.42688461104554837
61,20.0,170.0,5.0,-0.7833591416745516
62,30.0,170.0,5.0,-1.093018846771146
63,40.0,170.0,5.0,-1.3603143387573184
64,50.0,170.0,5.0,-1.5914208745913325
65,60.0,170.0,5.0,-1.8016178699917058
66,0.0,170.0,5.0,0.0
67,10.0,170.0,5.0,-0.43053245207456475
68,20.0,170.0,5.0,-0.784309573746797
69,30.0,170.0,5.0,-1.0886292928838621
70,40.0,170.0,5.0,-1.3467874862246563
71,50.0,170.0,5.0,-1.576262750017671
72,60.0,170.0,5.0,-1.7825160557860937
73,0.0,170.0,5.0,0.0
74,10.0,170.0,5.0,-0.4290369783682094
75,20.0,170.0,5.0,-0.7798657504297479
76,30.0,170.0,5.0,-1.0906044540328945
77,40.0,170.0,5.0,-1.359220522655143
78,50.0,170.0,5.0,-1.5924391505136375
79,60.0,170.0,5.0,-1.799696817018415
80,-40.0,170.0,6.0,2.79918
81,-20.0,170.0,6.0,1.19923
82,0.0,170.0,6.0,0.0
83,20.0,170.0,6.0,-1.00214
84,40.0,170.0,6.0,-1.80214
85,60.0,170.0,6.0,-2.25764
86,80.0,170.0,6.0,-2.65774
